year,countrycode,pop,imm,gdppc,lngdppc
1998,ARG,36.063459,95,15973.0672585851,9.67865928654833
1998,AUS,18.711,82,33174.4998403259,10.4095367826836
1998,BRA,169.78525,95,11193.3811754373,9.32307791611486
1998,CHN,1241.935,83,3211.62321142972,8.07453176165697
1998,FRA,60.186288,82,32679.6882454744,10.3945090093163
1998,DEU,82.047195,92,35081.304207874,10.4654236238986
1998,IND,1019.483581,53,2485.14416619206,7.81808595141216
1998,IDN,205.724592,77,5645.32609809811,8.63858324251459
1998,ITA,56.906744,55,34709.2728108162,10.4547621582133
1998,JPN,126.4,95,33154.8445767021,10.4089441260134
1998,KOR,46.286503,85,17386.9868151211,9.76347732120928
1998,MEX,96.056321,96,15401.2118183142,9.64220147480679
1998,NLD,15.707209,96,38925.5875268037,10.5694070904047
1998,RUS,147.670692,94,11917.8464620528,9.38579225836212
1998,SAU,19.783304,93,44473.2625046265,10.7026434449834
1998,ESP,40.223509,93,27473.3069596232,10.2209701562493
1998,CHE,7.110001,81,48540.2729292941,10.7901491020356
1998,TUR,61.329676,81,13874.0707311813,9.53777696204248
1998,GBR,58.487141,87,31262.3904492991,10.350171070959
1998,USA,275.854,92,42818.852352143,10.6647337601064
1998,AFG,19.737765,31,NA,NA
1998,ALB,3.12853,89,4450.92306948123,8.40086678499348
1998,DZA,30.192754,84,9843.13246677998,9.19452927950675
1998,AND,0.064142,90,NA,NA
1998,AGO,15.359601,60,3945.59493029686,8.28035502806877
1998,ATG,0.073224,99,19506.70985753,9.87851378062259
1998,ARM,3.108687,94,2639.94677079136,7.87851403335806
1998,AUT,7.976789,78,36443.7092612023,10.5035241371157
1998,AZE,7.913,67,3924.41064257799,8.27497146418495
1998,BHS,0.290597,92,30306.2847016489,10.3191103858858
1998,BHR,0.6137,99,44315.6036741833,10.6990921214239
1998,BGD,122.682815,71,1597.89747759363,7.37644396756823
1998,BRB,0.269336,97,14806.1738450206,9.60279952445921
1998,BLR,10.069,98,6862.29737993061,8.83379755968872
1998,BEL,10.203008,80,34813.8552388618,10.457770725574
1998,BLZ,0.230244,84,6075.46334345497,8.71201353582787
1998,BEN,6.470265,67,1585.78506587644,7.36883487338724
1998,BTN,0.564377,71,3113.73847498456,8.04357936523981
1998,BOL,8.096761,65,4414.51527041023,8.39265331548397
1998,BIH,3.734337,84,5517.28853881313,8.61564181185284
1998,BWA,1.575824,89,9993.41390723876,9.2096815457217
1998,BRN,0.319144,99,80833.0879924194,11.3001416655416
1998,BGR,8.256786,95,9109.06296843949,9.11702512749284
1998,BFA,10.968724,24,1040.667437642,6.94761755325453
1998,BDI,6.185562,68,754.429747911998,6.62596216308687
1998,CPV,0.412514,84,3182.29070892905,8.06535656516744
1998,KHM,11.600508,54,1162.73316392607,7.05852868846901
1998,CMR,14.723768,47,2501.08261023004,7.82447896121178
1998,CAN,30.155173,96,34530.023764774,10.4495844786194
1998,CAF,3.475492,37,881.893281682179,6.78207105286101
1998,TCD,7.770048,20,1083.2231076395,6.98769623468481
1998,CHL,14.977733,98,13907.3711941791,9.54017428029801
1998,COL,38.364309,78,8814.36609909555,9.08413818062914
1998,COM,0.515385,67,2224.71977501759,7.70738624285643
1998,COD,44.849967,20,675.116881692552,6.51488583394544
1998,COG,2.951647,21,4671.98983033255,8.44934034777893
1998,CRI,3.803887,83,9445.1738779957,9.15325918929455
1998,CIV,15.589414,66,3170.40754537518,8.06161542181762
1998,HRV,4.532135,91,14952.5792931494,9.61263909190745
1998,CUB,11.038692,99,NA,NA
1998,CYP,0.908702,89,26978.0083482024,10.2027773074744
1998,CZE,10.294373,95,19962.9612888893,9.90163390002782
1998,DNK,5.304219,91,39904.5956145279,10.5942467745544
1998,DJI,0.680463,21,NA,NA
1998,DMA,0.070185,98,7952.43772774329,8.9812337930668
1998,DOM,8.214426,80,7709.30507610947,8.95018332969484
1998,ECU,12.198449,89,7941.91889701133,8.97991019972912
1998,EGY,66.200269,98,6916.77308555825,8.84170462273622
1998,SLV,5.797765,99,5517.0091086027,8.61559116427754
1998,GNQ,0.558492,82,7991.57198386821,8.98614276332219
1998,ERI,2.206432,79,2665.40061754343,7.88810965083444
1998,EST,1.386156,89,14436.7289529188,9.57753085997957
1998,SWZ,0.979918,92,6037.64571704735,8.70576943299833
1998,ETH,62.507724,44,589.963532784046,6.38006072614892
1998,FJI,0.800157,77,6326.43290112427,8.75249183357043
1998,FIN,5.153498,96,31760.2768039513,10.3659716308127
1998,GAB,1.170061,56,20940.0810229207,9.94942035370647
1998,GMB,1.238125,90,1373.44964157493,7.22508084055661
1998,GEO,4.243607,73,3234.84821822438,8.08173728720195
1998,GHA,18.357156,78,2152.75851155531,7.6745053273742
1998,GRC,10.720509,89,23374.1527731618,10.0593861085016
1998,GRD,0.102021,97,8574.08394864814,9.05649943818162
1998,GTM,11.133501,79,5904.32757275279,8.68344084793101
1998,GIN,7.860781,52,1496.01551583073,7.31056053002524
1998,GNB,1.154371,61,1378.56501326884,7.22879839167952
1998,GUY,0.753778,93,4503.44414076481,8.41259774763068
1998,HTI,8.17468,53,1755.80490592948,7.47068266661594
1998,HND,6.220406,98,3277.97958335838,8.09498253090072
1998,HUN,10.26657,99,16612.2664667884,9.71789664524253
1998,ISL,0.274047,96,32862.2371317681,10.4000794699728
1998,IRN,63.971836,99,12718.7432540381,9.45083203122983
1998,IRQ,22.114324,88,10882.4723009152,9.2949087281363
1998,IRL,3.712696,77,33367.2594295763,10.4153304415996
1998,ISR,5.971,94,25385.3140234977,10.1419260977402
